,id,Id. Piquete,Piquete,Área,Cultivar,Módulo,Produção planejada,Tx. Ac mês,Estoque,Oferta mês,GM,Nome GM,Tipo,Dias,Ordem,Piq. atual,Último pastejo,Dias Ciclo,Centro,Cod. Fazenda,Fazenda,Dias descanso,Meta fazenda,Meta GM,geometry,lat,lon,,,,,,,,,
56,57,10117M2P6,M2P6,5.20,Marandu,2,101 | 6t | 2022,4.64,"3,542.15","6,298.14",71,"Lote 187,163, outros",Oferta,3,2,0,1969-12-31 21:00:45,46.27,"-20.208484, -53.351854",101,Santa Helena,40.00,"1,890.80","1,949.57",POINT (-53.351854 -20.208484),-20.21,-53.35,,
57,58,10117M2P7,M2P7,7.10,Marandu,2,101 | 6t | 2022,4.64,"3,671.19","8,892.21",71,"Lote 187,163, outros",Oferta,5,8,0,1969-12-31 21:00:45,6.41,"-20.206882, -53.350863",101,Santa Helena,2.00,"1,941.66","2,116.06",POINT (-53.350863 -20.206882),-20.21,-53.35,,
58,59,10117M2P8,M2P8,6.40,Marandu,2,101 | 6t | 2022,4.64,"3,354.83","7,368.38",71,"Lote 187,163, outros",Oferta,4,4,0,1969-12-31 21:00:45,32.43,"-20.206266, -53.348838",101,Santa Helena,26.00,"1,780.60","1,450.10",POINT (-53.348838 -20.206266),-20.21,-53.35,,
59,60,10117M2P9,M2P9,5.30,Marandu,2,101 | 6t | 2022,4.64,"3,731.05","6,739.24",71,"Lote 187,163, outros",Oferta,4,1,0,1969-12-31 21:00:45,50.60,"-20.207446, -53.346462",101,Santa Helena,47.00,"1,958.61","2,282.56",POINT (-53.346462 -20.207446),-20.21,-53.35,,
60,61,10117M3P1,M3P1,25.10,Marandu,3,101 | 6t | 2022,4.64,"2,823.83","24,638.03",,,Oferta,,14,0,1969-12-31 21:00:45,53.21,"-20.201708, -53.326868",101,Santa Helena,47.00,"1,492.38",0,POINT (-53.326868 -20.201708),-20.20,-53.33,,,,,
61,62,10117M3P10,M3P10,14.99,Marandu,3,101 | 6t | 2022,4.64,"2,061.64","11,062.49",69,Lote 161,Oferta,20,3,1,1969-12-31 21:00:45,9.44,"-20.204154, -53.330950",101,Santa Helena,-2.00,"1,085.49",816.74,POINT (-53.33095 -20.204154),-20.20,-53.33,,,,,
62,63,10117M3P11,M3P11,14.05,Marandu,3,101 | 6t | 2022,4.64,"2,023.51","10,197.53",69,Lote 161,Oferta,19,2,0,1969-12-31 21:00:45,24.41,"-20.200345, -53.330620",101,Santa Helena,10.00,"1,060.06",485.16,POINT (-53.33062 -20.200345),-20.20,-53.33,,,,,
63,64,10117M3P2,M3P2,25.20,Marandu,3,101 | 6t | 2022,4.64,"2,990.63","26,079.69",80,"Lote 191,189, outros",Oferta,25,1,0,1969-12-31 21:00:45,63.55,"-20.202186, -53.322844",101,Santa Helena,63.00,"1,577.15",998.48,POINT (-53.322844 -20.202186),-20.20,-53.32,,,
64,65,10117M3P3,M3P3,26.20,Marandu,3,101 | 6t | 2022,4.64,"3,384.25","30,410.66",,,Oferta,,19,0,1969-12-31 21:00:45,25.28,"-20.202684, -53.318721",101,Santa Helena,24.00,"1,806.03",0,POINT (-53.318721 -20.202684),-20.20,-53.32,,,,,
65,66,10117M3P4,M3P4,26.20,Marandu,3,101 | 6t | 2022,4.64,"3,376.14","30,342.75",,,Oferta,,23,0,1969-12-31 21:00:45,22.27,"-20.202913, -53.314389",101,Santa Helena,-6.00,"1,797.55",0,POINT (-53.314389 -20.202913),-20.20,-53.31,,,,,
66,67,10117M3P5,M3P5,25.60,Marandu,3,101 | 6t | 2022,4.64,"3,110.75","27,476.41",80,"Lote 191,189, outros",Oferta,26,3,1,1969-12-31 21:00:45,2.16,"-20.207470, -53.314482",101,Santa Helena,-3.00,"1,636.49","1,624.24",POINT (-53.314482 -20.20747),-20.21,-53.31,,
67,68,10117M3P6,M3P6,22.20,Marandu,3,101 | 6t | 2022,4.64,"3,420.68","26,026.29",80,"Lote 191,189, outros",Oferta,24,2,0,1969-12-31 21:00:45,55.59,"-20.207614, -53.319326",101,Santa Helena,54.00,"1,822.98","2,250",POINT (-53.319326 -20.207614),-20.21,-53.32,,
68,69,10117M3P7,M3P7,24.30,Marandu,3,101 | 6t | 2022,4.64,"2,688.26","22,799.87",,,Oferta,,18,0,1969-12-31 21:00:45,32.39,"-20.207418, -53.323647",101,Santa Helena,26.00,"1,407.61",0,POINT (-53.323647 -20.207418),-20.21,-53.32,,,,,
69,70,10117M3P8,M3P8,26.10,Marandu,3,101 | 6t | 2022,4.64,"3,244.43","29,128.26",,,Oferta,,15,0,1969-12-31 21:00:45,46.42,"-20.207151, -53.327724",101,Santa Helena,44.00,"1,687.35",0,POINT (-53.327724 -20.207151),-20.21,-53.33,,,,,
70,71,10117M3P9,M3P9,14.47,Marandu,3,101 | 6t | 2022,4.64,"2,228.61","11,450.93",69,Lote 161,Oferta,21,1,0,1969-12-31 21:00:45,92.41,"-20.208123, -53.331487",101,Santa Helena,92.00,"1,170.26","1,148.32",POINT (-53.331487 -20.208123),-20.21,-53.33,,,,
71,72,10117M4P1,M4P1,15.94,Marandu,4,101 | 6t | 2022,4.64,"3,231.06","17,721.30",,,Oferta,,6,0,1969-12-31 21:00:45,87.63,"-20.194025, -53.314157",101,Santa Helena,87.00,"1,670.40",0,POINT (-53.314157 -20.194025),-20.19,-53.31,,,,,
72,73,10117M4P10,M4P10,17.20,Marandu,4,101 | 6t | 2022,4.64,"2,692.93","16,163.82",78,"Lote 188, 179",Oferta,12,3,0,1969-12-31 21:00:45,67.55,"-20.197784, -53.322098",101,Santa Helena,64.00,"1,433.05","2,081.29",POINT (-53.322098 -20.197784),-20.20,-53.32,,,
73,74,10117M4P11,M4P11,13.90,Marandu,4,101 | 6t | 2022,4.64,"2,161.17","10,700.24",78,"Lote 188, 179",Oferta,8,6,0,1969-12-31 21:00:45,21.42,"-20.197519, -53.326041",101,Santa Helena,15.00,"1,144.83",962.10,POINT (-53.326041 -20.197519),-20.20,-53.33,,,,
74,75,10117M4P12,M4P12,13.70,Marandu,4,101 | 6t | 2022,4.64,"2,407.21","11,623.60",78,"Lote 188, 179",Oferta,9,7,0,1969-12-31 21:00:45,11.00,"-20.197169, -53.329904",101,Santa Helena,4.00,"1,255.03","1,894.76",POINT (-53.329904 -20.197169),-20.20,-53.33,,,
75,76,10117M4P13,M4P13,11.60,Marandu,4,101 | 6t | 2022,4.64,"2,363.65","9,680.37",78,"Lote 188, 179",Oferta,7,4,0,1969-12-31 21:00:45,30.69,"-20.194511, -53.329423",101,Santa Helena,27.00,"1,212.65","1,335.17",POINT (-53.329423 -20.194511),-20.19,-53.33,,,
